일자,기준금리,CPI,실업률,환율
2021-06-01,0.5,2.3,3.7,1106.97998
2021-06-02,0.5,2.6,3.7,1107.209961
2021-06-03,0.5,2.6,3.7,1109.880005
2021-06-04,0.5,2.6,3.7,1115.439941
2021-06-07,0.5,2.6,3.7,1109.680054
2021-06-08,0.5,2.6,3.7,1109.319946
2021-06-09,0.5,2.6,3.8,1116.890015
2021-06-10,0.5,2.6,3.8,1116.410034
2021-06-11,0.5,2.6,3.8,1111.26001
2021-06-14,0.5,2.6,3.8,1115.550049
2021-06-15,0.5,2.6,3.8,1116.319946
2021-06-16,0.5,2.6,3.8,1116.030029
2021-06-17,0.5,2.6,3.8,1131.949951
2021-06-18,0.5,2.6,3.8,1133.540039
2021-06-21,0.5,2.6,3.8,1134.25
2021-06-22,0.5,2.6,3.8,1130.339966
2021-06-23,0.5,2.6,3.8,1132.51001
2021-06-24,0.5,2.6,3.8,1132.609985
2021-06-25,0.5,2.6,3.8,1130.800049
2021-06-28,0.5,2.6,3.8,1125.339966
2021-06-29,0.5,2.6,3.8,1129.040039
2021-06-30,0.5,2.6,3.8,1130.51001
2021-07-01,0.5,2.6,3.8,1129.599976
2021-07-02,0.5,2.4,3.8,1132.410034
2021-07-05,0.5,2.4,3.8,1129.77002
2021-07-06,0.5,2.4,3.8,1129.439941
2021-07-07,0.5,2.4,3.8,1135.47998
2021-07-08,0.5,2.4,3.8,1140.52002
2021-07-09,0.5,2.4,3.8,1146.280029
2021-07-12,0.5,2.4,3.8,1144.310059
2021-07-13,0.5,2.4,3.8,1141.099976
2021-07-14,0.5,2.4,3.7,1148.699951
2021-07-15,0.5,2.4,3.7,1143.410034
2021-07-16,0.5,2.4,3.7,1140.119995
2021-07-19,0.5,2.4,3.7,1141.5
2021-07-20,0.5,2.4,3.7,1150.069946
2021-07-21,0.5,2.4,3.7,1147.47998
2021-07-22,0.5,2.4,3.7,1148.689941
2021-07-23,0.5,2.4,3.7,1149.910034
2021-07-26,0.5,2.4,3.7,1151.119995
2021-07-27,0.5,2.4,3.7,1151.76001
2021-07-28,0.5,2.4,3.7,1153.560059
2021-07-29,0.5,2.4,3.7,1149.410034
2021-07-30,0.5,2.4,3.7,1142.119995
2021-08-02,0.5,2.4,3.7,1150.930054
2021-08-03,0.5,2.6,3.7,1149.560059
2021-08-04,0.5,2.6,3.7,1148.579956
2021-08-05,0.5,2.6,3.7,1144.060059
2021-08-06,0.5,2.6,3.7,1143.119995
2021-08-09,0.5,2.6,3.7,1144.920044
2021-08-10,0.5,2.6,3.7,1145.890015
2021-08-11,0.5,2.6,3.3,1152.47998
2021-08-12,0.5,2.6,3.3,1152.849976
2021-08-13,0.5,2.6,3.3,1162.060059
2021-08-17,0.5,2.6,3.3,1164.5
2021-08-18,0.5,2.6,3.3,1176.449951
2021-08-19,0.5,2.6,3.3,1169.680054
2021-08-20,0.5,2.6,3.3,1175.390015
2021-08-23,0.5,2.6,3.3,1174.23999
2021-08-24,0.5,2.6,3.3,1167.609985
2021-08-25,0.5,2.6,3.3,1163.469971
2021-08-26,0.75,2.6,3.3,1163.329956
2021-08-27,0.75,2.6,3.3,1170
2021-08-30,0.75,2.6,3.3,1161.329956
2021-08-31,0.75,2.6,3.3,1165.51001
2021-09-01,0.75,2.6,3.3,1158.410034
2021-09-02,0.75,2.6,3.3,1155.280029
2021-09-03,0.75,2.6,3.3,1157.130005
2021-09-06,0.75,2.6,3.3,1154.75
2021-09-07,0.75,2.6,3.3,1155.540039
2021-09-08,0.75,2.6,3.3,1161
2021-09-09,0.75,2.6,3.3,1166.48999
2021-09-10,0.75,2.6,3.3,1169.130005
2021-09-13,0.75,2.6,3.3,1169.380005
2021-09-14,0.75,2.6,3.3,1171.109985
2021-09-15,0.75,2.6,2.8,1170.800049
2021-09-16,0.75,2.6,2.8,1165.219971
2021-09-17,0.75,2.6,2.8,1174.420044
2021-09-23,0.75,2.6,2.8,1181.030029
2021-09-24,0.75,2.6,2.8,1174.699951
2021-09-27,0.75,2.6,2.8,1179.199951
2021-09-28,0.75,2.6,2.8,1176.959961
2021-09-29,0.75,2.6,2.8,1186.890015
2021-09-30,0.75,2.6,2.8,1187.430054
2021-10-01,0.75,2.6,2.8,1183.719971
2021-10-05,0.75,2.6,2.8,1183.780029
2021-10-06,0.75,2.5,2.8,1187.170044
2021-10-07,0.75,2.5,2.8,1191.380005
2021-10-08,0.75,2.5,2.8,1191.150024
2021-10-12,0.75,2.5,2.8,1195.800049
2021-10-13,0.75,2.5,3,1196.890015
2021-10-14,0.75,2.5,3,1186.709961
2021-10-15,0.75,2.5,3,1182.130005
2021-10-18,0.75,2.5,3,1181.790039
2021-10-19,0.75,2.5,3,1185.680054
2021-10-20,0.75,2.5,3,1175.650024
2021-10-21,0.75,2.5,3,1174.589966
2021-10-22,0.75,2.5,3,1176.550049
2021-10-25,0.75,2.5,3,1176.540039
2021-10-26,0.75,2.5,3,1167.060059
2021-10-27,0.75,2.5,3,1167.329956
2021-10-28,0.75,2.5,3,1172.170044
2021-10-29,0.75,2.5,3,1167.369995
2021-11-01,0.75,2.5,3,1174.380005
2021-11-02,0.75,3.2,3,1176.569946
2021-11-03,0.75,3.2,3,1178.040039
2021-11-04,0.75,3.2,3,1179.339966
2021-11-05,0.75,3.2,3,1185.829956
2021-11-08,0.75,3.2,3,1180.5
2021-11-09,0.75,3.2,3,1199.859985
2021-11-10,0.75,3.2,3.2,1177.5
2021-11-11,0.75,3.2,3.2,1184.140015
2021-11-12,0.75,3.2,3.2,1183.109985
2021-11-15,0.75,3.2,3.2,1179.109985
2021-11-16,0.75,3.2,3.2,1183.51001
2021-11-17,0.75,3.2,3.2,1184.050049
2021-11-18,0.75,3.2,3.2,1181.22998
2021-11-19,0.75,3.2,3.2,1182.900024
2021-11-22,0.75,3.2,3.2,1191.630005
2021-11-23,0.75,3.2,3.2,1189.5
2021-11-24,0.75,3.2,3.2,1189.949951
2021-11-25,1,3.2,3.2,1187.880005
2021-11-26,1,3.2,3.2,1190.219971
2021-11-29,1,3.2,3.2,1194.609985
2021-11-30,1,3.2,3.2,1190.73999
2021-12-01,1,3.2,3.2,1182.859985
2021-12-02,1,3.7,3.2,1177.109985
2021-12-03,1,3.7,3.2,1176.77002
2021-12-06,1,3.7,3.2,1183.140015
2021-12-07,1,3.7,3.2,1180.560059
2021-12-08,1,3.7,3.2,1176.839966
2021-12-09,1,3.7,3.2,1172.560059
2021-12-10,1,3.7,3.2,1177.329956
2021-12-13,1,3.7,3.2,1178.969971
2021-12-14,1,3.7,3.2,1185.099976
2021-12-15,1,3.7,3.1,1184.22998
2021-12-16,1,3.7,3.1,1184.400024
2021-12-17,1,3.7,3.1,1186.150024
2021-12-20,1,3.7,3.1,1186.390015
2021-12-21,1,3.7,3.1,1190.119995
2021-12-22,1,3.7,3.1,1191.27002
2021-12-23,1,3.7,3.1,1187.77002
2021-12-24,1,3.7,3.1,1185.5
2021-12-27,1,3.7,3.1,1185.920044
2021-12-28,1,3.7,3.1,1185.650024
2021-12-29,1,3.7,3.1,1187.849976
2021-12-30,1,3.7,3.1,1183.670044
2022-01-03,1,3.7,3.1,1187.780029
2022-01-04,1,3.7,3.1,1194.680054
2022-01-05,1,3.7,3.1,1196.5
2022-01-06,1,3.7,3.1,1199.25
2022-01-07,1,3.7,3.1,1205.780029
2022-01-10,1,3.7,3.1,1196.880005
2022-01-11,1,3.7,3.1,1198.089966
2022-01-12,1,3.7,3.8,1189.430054
2022-01-13,1,3.7,3.8,1185.880005
2022-01-14,1.25,3.7,3.8,1186.609985
2022-01-17,1.25,3.7,3.8,1188.959961
2022-01-18,1.25,3.7,3.8,1190.060059
2022-01-19,1.25,3.7,3.8,1192.97998
2022-01-20,1.25,3.7,3.8,1188.160034
2022-01-21,1.25,3.7,3.8,1192.430054
2022-01-24,1.25,3.7,3.8,1191.5
2022-01-25,1.25,3.7,3.8,1195.660034
2022-01-26,1.25,3.7,3.8,1196.099976
2022-01-27,1.25,3.7,3.8,1200.630005
2022-01-28,1.25,3.7,3.8,1203.459961
2022-02-03,1.25,3.7,3.8,1199.959961
2022-02-04,1.25,3.6,3.8,1200.329956
2022-02-07,1.25,3.6,3.8,1197.089966
2022-02-08,1.25,3.6,3.8,1196.849976
2022-02-09,1.25,3.6,3.8,1196.359985
2022-02-10,1.25,3.6,3.8,1194.030029
2022-02-11,1.25,3.6,3.8,1199.349976
2022-02-14,1.25,3.6,3.8,1199.23999
2022-02-15,1.25,3.6,3.8,1197.359985
2022-02-16,1.25,3.6,3.6,1196.829956
2022-02-17,1.25,3.6,3.6,1196.75
2022-02-18,1.25,3.6,3.6,1198.660034
2022-02-21,1.25,3.6,3.6,1195.069946
2022-02-22,1.25,3.6,3.6,1194.680054
2022-02-23,1.25,3.6,3.6,1192.680054
2022-02-24,1.25,3.6,3.6,1192.400024
2022-02-25,1.25,3.6,3.6,1206
