종목코드,기준일,지표,값
000020,2023-07-21,PBR,0.762
000020,2023-07-21,PCR,11.0115
000020,2023-07-21,PER,9.9755
000020,2023-07-21,PSR,0.8074
000040,2023-07-21,PBR,1.1751
000040,2023-07-21,PCR,-12.2576
000040,2023-07-21,PER,-3.2471
000040,2023-07-21,PSR,0.4692
000050,2023-07-21,PBR,0.3526
000050,2023-07-21,PCR,9.3653
000050,2023-07-21,PER,-18.3457
000050,2023-07-21,PSR,0.6977
000070,2023-07-21,PBR,0.2448
000070,2023-07-21,PCR,4.0907
000070,2023-07-21,PER,7.2397
000070,2023-07-21,PSR,0.1864
000080,2023-07-21,PBR,1.2385
000080,2023-07-21,PCR,-14.0197
000080,2023-07-21,PER,19.612
000080,2023-07-21,PSR,0.5586
000100,2023-07-21,PBR,2.6075
000100,2023-07-21,PCR,48.0786
000100,2023-07-21,PER,53.0454
000100,2023-07-21,PSR,2.84
000120,2023-07-21,PBR,0.4219
000120,2023-07-21,PCR,2.049
000120,2023-07-21,PER,8.0809
000120,2023-07-21,PSR,0.1429
000140,2023-07-21,PBR,0.1846
000140,2023-07-21,PCR,-1.7231
000140,2023-07-21,PER,3.6196
000140,2023-07-21,PSR,0.0847
000150,2023-07-21,PBR,0.1354
000150,2023-07-21,PCR,1.4115
000150,2023-07-21,PER,-2.9875
000150,2023-07-21,PSR,0.0798
000180,2023-07-21,PBR,0.2449
000180,2023-07-21,PCR,-7.864
000180,2023-07-21,PER,-7.7315
000180,2023-07-21,PSR,0.6258
000210,2023-07-21,PBR,0.1638
000210,2023-07-21,PCR,5.7492
000210,2023-07-21,PER,-18.3122
000210,2023-07-21,PSR,0.1419
000220,2023-07-21,PBR,0.7136
000220,2023-07-21,PCR,-10.4625
000220,2023-07-21,PER,-22.5346
000220,2023-07-21,PSR,0.6387
000230,2023-07-21,PBR,0.6556
000230,2023-07-21,PCR,-1.6938
000230,2023-07-21,PER,-1.51
000230,2023-07-21,PSR,0.202
000240,2023-07-21,PBR,0.2845
000240,2023-07-21,PCR,33.922
000240,2023-07-21,PER,7.1141
000240,2023-07-21,PSR,1.054
000250,2023-07-21,PBR,5.9306
000250,2023-07-21,PCR,92.4093
000250,2023-07-21,PER,216.9609
000250,2023-07-21,PSR,8.3307
000270,2023-07-21,PBR,0.8672
000270,2023-07-21,PCR,3.1431
000270,2023-07-21,PER,5.2296
000270,2023-07-21,PSR,0.3697
000300,2023-07-21,PBR,0.936
000300,2023-07-21,PCR,2.8176
000300,2023-07-21,PER,-4.28
000300,2023-07-21,PSR,0.2253
000320,2023-07-21,PBR,0.2361
000320,2023-07-21,PCR,2.8849
000320,2023-07-21,PER,4.1698
000320,2023-07-21,PSR,0.1372
000370,2023-07-21,PBR,0.4587
000370,2023-07-21,PCR,-4.4178
000370,2023-07-21,PER,2.572
000390,2023-07-21,PBR,0.5897
000390,2023-07-21,PCR,4.0073
000390,2023-07-21,PER,35.7454
000390,2023-07-21,PSR,0.2809
000400,2023-07-21,PBR,0.6442
000400,2023-07-21,PCR,-0.6799
000400,2023-07-21,PER,89.2484
000430,2023-07-21,PBR,0.8067
000430,2023-07-21,PCR,11.6231
000430,2023-07-21,PER,14.511
000430,2023-07-21,PSR,0.4441
000440,2023-07-21,PBR,1.954
000440,2023-07-21,PCR,47.4042
000440,2023-07-21,PER,
000440,2023-07-21,PSR,1.6488
000480,2023-07-21,PBR,1.0375
000480,2023-07-21,PCR,28.2667
000480,2023-07-21,PER,22.4339
000480,2023-07-21,PSR,1.0707
000490,2023-07-21,PBR,0.5484
000490,2023-07-21,PCR,-4.4093
000490,2023-07-21,PER,5.4978
000490,2023-07-21,PSR,0.1743
000500,2023-07-21,PBR,0.4432
000500,2023-07-21,PCR,46.3293
000500,2023-07-21,PER,8.3692
000500,2023-07-21,PSR,0.0889
000520,2023-07-21,PBR,1.0909
000520,2023-07-21,PCR,28.251
000520,2023-07-21,PER,367.2633
000520,2023-07-21,PSR,0.6135
000540,2023-07-21,PBR,0.2249
000540,2023-07-21,PCR,0.6325
000540,2023-07-21,PER,1.372
000590,2023-07-21,PBR,0.2072
000590,2023-07-21,PCR,2.5588
000590,2023-07-21,PER,3.2655
000590,2023-07-21,PSR,0.3959
000640,2023-07-21,PBR,0.5419
000640,2023-07-21,PCR,5.5076
000640,2023-07-21,PER,24.5587
000640,2023-07-21,PSR,0.516
000650,2023-07-21,PBR,2.7029
000650,2023-07-21,PCR,-720.327
000650,2023-07-21,PER,-20.5808
000650,2023-07-21,PSR,1.7612
000660,2023-07-21,PBR,1.2902
000660,2023-07-21,PCR,10.9766
000660,2023-07-21,PER,-35.9473
000660,2023-07-21,PSR,2.2313
000670,2023-07-21,PBR,0.2408
000670,2023-07-21,PCR,2.5198
000670,2023-07-21,PER,3.0792
000670,2023-07-21,PSR,0.2425
000680,2023-07-21,PBR,0.3836
000680,2023-07-21,PCR,-20.7237
000680,2023-07-21,PER,35.3321
000680,2023-07-21,PSR,0.5889
000700,2023-07-21,PBR,0.3512
000700,2023-07-21,PCR,2.5823
000700,2023-07-21,PER,3.8096
000700,2023-07-21,PSR,0.3142
000720,2023-07-21,PBR,0.4174
000720,2023-07-21,PCR,-6.0623
000720,2023-07-21,PER,9.5782
000720,2023-07-21,PSR,0.1815
000760,2023-07-21,PBR,0.2183
000760,2023-07-21,PCR,-20.4288
000760,2023-07-21,PER,-42.56
000760,2023-07-21,PSR,0.9219
000810,2023-07-21,PBR,0.9928
000810,2023-07-21,PCR,-12.9928
000810,2023-07-21,PER,8.292
000850,2023-07-21,PBR,0.2397
000850,2023-07-21,PCR,2.6667
000850,2023-07-21,PER,1.9701
000850,2023-07-21,PSR,0.3162
000860,2023-07-21,PBR,0.222
000860,2023-07-21,PCR,3.7563
000860,2023-07-21,PER,19.9333
000860,2023-07-21,PSR,0.227
000880,2023-07-21,PBR,0.1099
000880,2023-07-21,PCR,0.348
000880,2023-07-21,PER,0.8678
000880,2023-07-21,PSR,0.0358
000890,2023-07-21,PBR,0.9305
000890,2023-07-21,PCR,78.0464
000890,2023-07-21,PER,-27.8737
000890,2023-07-21,PSR,0.8428
000910,2023-07-21,PBR,0.5152
000910,2023-07-21,PCR,-9.5543
000910,2023-07-21,PER,-63.6954
000910,2023-07-21,PSR,0.4101
000950,2023-07-21,PBR,0.2561
000950,2023-07-21,PCR,-0.5785
000950,2023-07-21,PER,0.7853
000950,2023-07-21,PSR,0.4008
000970,2023-07-21,PBR,0.4532
000970,2023-07-21,PCR,10.7488
000970,2023-07-21,PER,13.1672
000970,2023-07-21,PSR,0.3408
000990,2023-07-21,PBR,1.6965
000990,2023-07-21,PCR,4.1154
000990,2023-07-21,PER,5.5906
000990,2023-07-21,PSR,1.6877
001000,2023-07-21,PBR,2.9688
001000,2023-07-21,PCR,56.8701
001000,2023-07-21,PER,-227.4805
001000,2023-07-21,PSR,10.34
