종목코드,순위
A101670,1
A086520,2
A073570,3
A001570,4
A114190,5
A002710,6
A005070,7
A006110,8
A035290,9
A010580,10
A002900,11
A009730,12
A277810,13
A108860,14
A003280,15
A042600,16
A095500,17
A222810,18
A234920,19
A007660,20
A121600,21
A029480,22
A281740,23
A005420,24
A317770,25
A336570,26
A085670,27
A178780,28
A106080,29
A182360,30
A003620,31
A096610,32
A005950,33
A006740,34
A007120,35
A035900,36
A064550,37
A001080,38
A214370,39
A011300,40
A173130,41
A003610,42
A093640,43
A035080,44
A145720,45
A058610,46
A335890,47
A093520,48
A041510,49
A052020,50
A138040,51
A010470,52
A150840,53
A066970,54
A036620,55
A018470,56
A053690,57
A095340,58
A113810,59
A317850,60
A109860,61
A079810,62
A012320,63
A003030,64
A004890,65
A078350,66
A101730,67
A270520,68
A024900,69
A060230,70
A011230,71
A074610,72
A038110,73
A083470,74
A095660,75
A208370,76
A005860,77
A036010,78
A267260,79
A009520,80
A317830,81
A010690,82
A025440,83
A048260,84
A073640,85
A007340,86
A011700,87
A214270,88
A137400,89
A373200,90
A012450,91
A108490,92
A053050,93
A003670,94
A214680,95
A085370,96
A064520,97
A033100,98
A101490,99
A179290,100
A006220,101
A117730,102
A200880,103
A024850,104
A090370,105
A357550,106
A033340,107
A058970,108
A032800,109
A001440,110
A122870,111
A051980,112
A090710,113
A064480,114
A032540,115
A094360,116
A225570,117
A028080,118
A078600,119
A094820,120
A064090,121
A190510,122
A033230,123
A134580,124
A065510,125
A118990,126
A033240,127
A064240,128
A351320,129
A001140,130
A054210,131
A214150,132
A263860,133
A003720,134
A037370,135
A060590,136
A272110,137
A008730,138
A353200,139
A066670,140
A010820,141
A015590,142
A028050,143
A287410,144
A088390,145
A013310,146
A219130,147
A005830,148
A318000,149
A079550,150
A012030,151
A032580,152
A011070,153
A023160,154
A103590,155
A105840,156
A138490,157
A093230,158
A101170,159
A086900,160
A079170,161
A101390,162
A027740,163
A355150,164
A195870,165
A249420,166
A010640,167
A056080,168
A246720,169
A206560,170
A122690,171
A030960,172
A263600,173
A290670,174
A083650,175
A091120,176
A016790,177
A009160,178
A322510,179
A300080,180
A006880,181
A019570,182
A332290,183
A171090,184
A047560,185
A004250,186
A119610,187
A054950,188
A004370,189
A189860,190
A009970,191
A015750,192
A115310,193
A217190,194
A126340,195
A263810,196
A071280,197
A047050,198
A161000,199
A140670,200
A179900,201
A041440,202
A083930,203
A284620,204
A064350,205
A001450,206
A054930,207
A222800,208
A215090,209
A040300,210
A024830,211
A214450,212
A099440,213
A047810,214
A298380,215
A126700,216
A131100,217
A004690,218
A025560,219
A059120,220
A036560,221
A320000,222
A090080,223
A033160,224
A005290,225
A363250,226
A010660,227
A348210,228
A041590,229
A014580,230
A079370,231
A102940,232
A005160,233
A008870,234
A368770,235
A067310,236
A001560,237
A130660,238
A218150,239
A215100,240
A007810,241
A014620,242
A290690,243
A117580,244
A090460,245
A187270,246
A008110,247
A098120,248
A022100,249
A017900,250
A082920,251
A000760,252
A051360,253
A069920,254
A094170,255
A048550,256
A003780,257
A282880,258
A067630,259
A049520,260
A091580,261
A306200,262
A049070,263
A090410,264
A153460,265
A001070,266
A174900,267
A036930,268
A049720,269
A089790,270
A003230,271
A203690,272
A013030,273
A007770,274
A089890,275
A011560,276
A340440,277
A214430,278
A000990,279
A093370,280
A001340,281
A200350,282
A000250,283
A009810,284
A298050,285
A015260,286
A041020,287
A290650,288
A251630,289
A105330,290
A028300,291
A263800,292
A220260,293
A057880,294
A009300,295
A090360,296
A321260,297
A114810,298
A126600,299
A037440,300
A093190,301
A008260,302
A065370,303
A052690,304
A053450,305
A352820,306
A006910,307
A086670,308
A101160,309
A083450,310
A010100,311
A083310,312
A002220,313
A058650,314
A044490,315
A109610,316
A140860,317
A307950,318
A003570,319
A316140,320
A211050,321
A059210,322
A007370,323
A230240,324
A060560,325
A322000,326
A006260,327
A166090,328
A151860,329
A054180,330
A000150,331
A047920,332
A175330,333
A100250,334
A168330,335
A060280,336
A247660,337
A043150,338
A058850,339
A021820,340
A011420,341
A025530,342
A018500,343
A253590,344
A004100,345
A215000,346
A078150,347
A000230,348
A228760,349
A009420,350
A000810,351
A006400,352
A002350,353
A074600,354
A241770,355
A024740,356
A014910,357
A311390,358
A063080,359
A056730,360
A072130,361
A180400,362
A271560,363
A047820,364
A025770,365
A002600,366
A002030,367
A087600,368
A100660,369
A037270,370
A267270,371
A043260,372
A036710,373
A212560,374
A170790,375
A005810,376
A032820,377
A000850,378
A003960,379
A150900,380
A004360,381
A009780,382
A038060,383
A109960,384
A080000,385
A013360,386
A114090,387
A108320,388
A141080,389
A060310,390
A035460,391
A047400,392
A083660,393
A057680,394
A196300,395
A018670,396
A254120,397
A241710,398
A115440,399
A123010,400
A032190,401
A039290,402
A310200,403
A003160,404
A010130,405
A036120,406
A058860,407
A025550,408
A241560,409
A100030,410
A298040,411
A024910,412
A215200,413
A026040,414
A029530,415
A104200,416
A177350,417
A005850,418
A307750,419
A127120,420
A058630,421
A128540,422
A053610,423
A282330,424
A182400,425
A071090,426
A000430,427
A010120,428
A001940,429
A111770,430
A277880,431
A136510,432
A317870,433
A347890,434
A069260,435
A090470,436
A019180,437
A307870,438
A207940,439
A000270,440
A003220,441
A119850,442
A024880,443
A037950,444
A365590,445
A307180,446
A333430,447
A077500,448
A042520,449
A054800,450
A092300,451
A046070,452
A004080,453
A033780,454
A073240,455
A145210,456
A081150,457
A126880,458
A006580,459
A012600,460
A015540,461
A065560,462
A069110,463
A109070,464
A160600,465
A223310,466
A257370,467
A002700,468
A076080,469
A001790,470
A225190,471
A013520,472
A149980,473
A204620,474
A015890,475
A238120,476
A189300,477
A226400,478
A024110,479
A010140,480
A338220,481
A189690,482
A036640,483
A012860,484
A053800,485
A049480,486
A002140,487
A089010,488
A051370,489
A099520,490
A007390,491
A100840,492
A011500,493
A200670,494
A094970,495
A000490,496
A002150,497
A171010,498
A213420,499
A064290,500
A005490,501
A219420,502
A004920,503
A078520,504
A264660,505
A007820,506
A033530,507
A089850,508
A115610,509
A100090,510
A144960,511
A060720,512
A038870,513
A091590,514
A025820,515
A019540,516
A000100,517
A318010,518
A086790,519
A001390,520
A051500,521
A034590,522
A030200,523
A056190,524
A091810,525
A101240,526
A136480,527
A079960,528
A277070,529
A006890,530
A056700,531
A049950,532
A103140,533
A009830,534
A042110,535
A077970,536
A035000,537
A038010,538
A369370,539
A237690,540
A039240,541
A014710,542
A086040,543
A054450,544
A040420,545
A011760,546
A018310,547
A001460,548
A299030,549
A010040,550
A005930,551
A017040,552
A205100,553
A123700,554
A085910,555
A274090,556
A222080,557
A045970,558
A001250,559
A352480,560
A065710,561
A109080,562
A031330,563
A031980,564
A036190,565
A158430,566
A175140,567
A053980,568
A036810,569
A247540,570
A085660,571
A131400,572
A071970,573
A001800,574
A000880,575
A282690,576
A225530,577
A084730,578
A080220,579
A014680,580
A251970,581
A029780,582
A112610,583
A173940,584
A006730,585
A069410,586
A092200,587
A001120,588
A048770,589
A060370,590
A094480,591
A211270,592
A086280,593
A170920,594
A058730,595
A036670,596
A278280,597
A039030,598
A248070,599
A033170,600
A024890,601
A019440,602
A236200,603
A002410,604
A101360,605
A000370,606
A133820,607
A000660,608
A125210,609
A004380,610
A307280,611
A004000,612
A119830,613
A128940,614
A000440,615
A027580,616
A222420,617
A052900,618
A149950,619
A001720,620
A003550,621
A011330,622
A122900,623
A023000,624
A115500,625
A051380,626
A069730,627
A004710,628
A005380,629
A013570,630
A010050,631
A088130,632
A226440,633
A309930,634
A005390,635
A148150,636
A005710,637
A204270,638
A004450,639
A170030,640
A014130,641
A040910,642
A009190,643
A047770,644
A023350,645
A010620,646
A112040,647
A093320,648
A239890,649
A267290,650
A007540,651
A066570,652
A067280,653
A017940,654
A004700,655
A005820,656
A041830,657
A091700,658
A097800,659
A263540,660
A005610,661
A001060,662
A034950,663
A196170,664
A072710,665
A067080,666
A322180,667
A005300,668
A005500,669
A042420,670
A100120,671
A319400,672
A002920,673
A046310,674
A009900,675
A003010,676
A049800,677
A221980,678
A161580,679
A171120,680
A015360,681
A131970,682
A053700,683
A059100,684
A009150,685
A065350,686
A075580,687
A003460,688
A252990,689
A050890,690
A105560,691
A138930,692
A011320,693
A033500,694
A002680,695
A241790,696
A031820,697
A140070,698
A141000,699
A000400,700
A037560,701
A083500,702
A003380,703
A003310,704
A000950,705
A055490,706
A042700,707
A005720,708
A105740,709
A029960,710
A228850,711
A036530,712
A108230,713
A134380,714
A264850,715
A041960,716
A037760,717
A010770,718
A064960,719
A081580,720
A028670,721
A050110,722
A041650,723
A002960,724
A093920,725
A238200,726
A036890,727
A043370,728
A052220,729
A039490,730
A027710,731
A014440,732
A297890,733
A055550,734
A317330,735
A058470,736
A003300,737
A007590,738
A008700,739
A095270,740
A086980,741
A008770,742
A053270,743
A023810,744
A001520,745
A072470,746
A045100,747
A051630,748
A042500,749
A000590,750
A096350,751
A067160,752
A007310,753
A032980,754
A028260,755
A336060,756
A306620,757
A006570,758
A003920,759
A053260,760
A010280,761
A227840,762
A023910,763
A223250,764
A214260,765
A045300,766
A009440,767
A192650,768
A032830,769
A001620,770
A019010,771
A068790,772
A017800,773
A009200,774
A279600,775
A020560,776
A043090,777
A000700,778
A025320,779
A000520,780
A064850,781
A089470,782
A104830,783
A092220,784
A126640,785
A032850,786
A101930,787
A002810,788
A036170,789
A088910,790
A237880,791
A318020,792
A023760,793
A018700,794
A123040,795
A025860,796
A196450,797
A067920,798
A004980,799
A017960,800
A036630,801
A340570,802
A067570,803
A007460,804
A036540,805
A078930,806
A303360,807
A016360,808
A069620,809
A026940,810
A243840,811
A064800,812
A322780,813
A048410,814
A051910,815
A011810,816
A106190,817
A023440,818
A229640,819
A263750,820
A140520,821
A012700,822
A131760,823
A003410,824
A298690,825
A007530,826
A003690,827
A128660,828
A092870,829
A153710,830
A009470,831
A189980,832
A012330,833
A072870,834
A115160,835
A107590,836
A261200,837
A204020,838
A038070,839
A111710,840
A051780,841
A263690,842
A046390,843
A054040,844
A079940,845
A005430,846
A115480,847
A014830,848
A082660,849
A068930,850
A035890,851
A003830,852
A032620,853
A001040,854
A096640,855
A093050,856
A155650,857
A024840,858
A082740,859
A001270,860
A054540,861
A120240,862
A104540,863
A004430,864
A099750,865
A044380,866
A217500,867
A006140,868
A018250,869
A024090,870
A029460,871
A293490,872
A095570,873
A032960,874
A001740,875
A005680,876
A087260,877
A200710,878
A060980,879
A119500,880
A000860,881
A001200,882
A095610,883
A092780,884
A048430,885
A060850,886
A080420,887
A020150,888
A014470,889
A340930,890
A110990,891
A197140,892
A038950,893
A063170,894
A002760,895
A015860,896
A035610,897
A123860,898
A311690,899
A006800,900
A097780,901
A032940,902
A067990,903
A267250,904
A161390,905
A000680,906
A002240,907
A065440,908
A002840,909
A060540,910
A080520,911
A250060,912
A005870,913
A039010,914
A120030,915
A009320,916
A013870,917
A268280,918
A015230,919
A068240,920
A339950,921
A000020,922
A250000,923
A001130,924
A034230,925
A242040,926
A000300,927
A005990,928
A005180,929
A030520,930
A378850,931
A003540,932
A013700,933
A078140,934
A068760,935
A085620,936
A007610,937
A049080,938
A068050,939
A011150,940
A011210,941
A034020,942
A281820,943
A043650,944
A086390,945
A050860,946
A073010,947
A003650,948
A000970,949
A357780,950
A023450,951
A039610,952
A000910,953
A313760,954
A383800,955
A054670,956
A096760,957
A326030,958
A004970,959
A302430,960
A042670,961
A064820,962
A005940,963
A137950,964
A142760,965
A075180,966
A008040,967
A265520,968
A139130,969
A038680,970
A005670,971
A304100,972
A023590,973
A082270,974
A002460,975
A054090,976
A038540,977
A047310,978
A122310,979
A063440,980
A009270,981
A033830,982
A010240,983
A185750,984
A091990,985
A122640,986
A102260,987
A009770,988
A204320,989
A056360,990
A109740,991
A080010,992
A272210,993
A336260,994
A043910,995
A073560,996
A001820,997
A033320,998
A053300,999
A036460,1000
A000640,1001
A009290,1002
A067290,1003
A049430,1004
A000050,1005
A080470,1006
A000670,1007
A180640,1008
A019590,1009
A003490,1010
A051600,1011
A009680,1012
A068270,1013
A039840,1014
A039200,1015
A009180,1016
A066620,1017
A143160,1018
A004780,1019
A004310,1020
A023770,1021
A317400,1022
A004650,1023
A036830,1024
A006200,1025
A065450,1026
A015760,1027
A014820,1028
A203450,1029
A010950,1030
A198440,1031
A094840,1032
A023900,1033
