종목코드,순위
A000020,1530
A000040,1259
A000050,1129
A000070,750
A000080,919
A000100,1272
A000120,1115
A000140,816
A000150,1522
A000180,536
A000210,542
A000220,412
A000230,296
A000240,386
A000250,9
A000270,1746
A000300,1192
A000320,814
A000370,203
A000390,1704
A000400,1816
A000430,683
A000440,833
A000480,981
A000490,423
A000500,1008
A000520,1448
A000540,570
A000590,1559
A000640,1137
A000650,1012
A000660,1597
A000670,97
A000680,1734
A000700,434
A000720,1377
A000760,1059
A000810,863
A000850,1710
A000860,1249
A000880,1237
A000890,1009
A000910,1933
A000950,1636
A000970,1516
A000990,291
A001000,576
A001020,967
A001040,787
A001060,522
A001070,791
A001080,1466
A001120,519
A001130,767
A001140,1976
A001200,1982
A001230,310
A001250,1214
A001260,789
A001270,1658
A001290,1102
A001340,1943
A001360,1526
A001380,613
A001390,1719
A001430,805
A001440,141
A001450,156
A001460,1867
A001470,1995
A001500,1050
A001510,798
A001520,523
A001530,184
A001540,435
A001550,752
A001560,1736
A001570,60
A001620,127
A001630,902
A001680,1196
A001720,690
A001740,1028
A001750,811
A001780,1005
A001790,211
A001800,319
A001810,931
A001820,1665
A001840,1371
A001880,1141
A001940,1870
A002020,1080
A002030,1282
A002100,997
A002140,1323
A002150,1234
A002170,781
A002200,444
A002210,765
A002220,1628
A002230,875
A002240,188
A002290,327
A002310,678
A002320,664
A002350,1655
A002360,1654
A002380,438
A002390,988
A002410,1101
A002450,1022
A002460,822
A002600,1023
A002620,1847
A002630,991
A002680,288
A002690,189
A002700,722
A002710,272
A002720,356
A002760,1614
A002780,1355
A002790,1569
A002800,968
A002810,825
A002840,210
A002880,1482
A002900,1010
A002920,1900
A002960,792
A002990,1151
A003000,861
A003010,786
A003030,1893
A003060,1256
A003070,52
A003080,1834
A003090,1220
A003100,2
A003120,871
A003160,1169
A003200,1891
A003220,1483
A003230,70
A003240,731
A003280,1368
A003300,675
A003310,819
A003350,614
A003380,1155
A003410,982
A003460,1463
A003470,1588
A003480,153
A003490,556
A003520,301
A003530,413
A003540,726
A003550,1172
A003560,828
A003570,1591
A003580,1120
A003610,1711
A003620,949
A003650,1439
A003670,1052
A003690,788
A003720,1074
A003780,1632
A003800,1033
A003830,1449
A003850,1610
A003920,278
A003960,1528
A004000,1131
A004020,590
A004060,1058
A004080,864
A004090,624
A004100,693
A004140,712
A004150,1047
A004170,637
A004250,1061
A004270,1400
A004310,334
A004360,333
A004370,1006
A004380,844
A004410,1123
A004430,245
A004440,979
A004450,1248
A004490,25
A004540,909
A004560,1149
A004590,1414
A004650,1484
A004690,92
A004700,754
A004710,1070
A004720,502
A004770,450
A004780,633
A004800,1301
A004830,848
A004840,1788
A004870,1698
A004890,1109
A004910,243
A004920,1966
A004960,636
A004970,920
A004980,1551
A004990,111
A005010,734
A005070,1370
A005090,650
A005110,13
A005160,74
A005180,1088
A005250,1437
A005290,1749
A005300,295
A005320,73
A005360,837
A005380,1812
A005390,597
A005420,476
A005430,341
A005440,170
A005490,154
A005500,748
A005610,1405
A005670,405
A005680,1735
A005690,998
A005710,612
A005720,1265
A005740,1164
A005750,1208
A005800,657
A005810,1823
A005820,169
A005830,248
A005850,101
A005860,179
A005870,1666
A005880,484
A005930,1558
A005940,1236
A005950,1393
A005960,1402
A005990,1438
A006040,265
A006050,447
A006060,990
A006090,661
A006110,1276
A006120,1073
A006140,82
A006200,1100
A006220,1271
A006260,267
A006280,1479
A006340,1446
A006360,760
A006370,1311
A006390,995
A006400,1048
A006490,989
A006570,117
A006580,943
A006620,1281
A006650,442
A006660,1431
A006730,885
A006740,647
A006800,1620
A006840,761
A006880,1117
A006890,1764
A006910,228
A006980,1811
A007070,1143
A007110,1689
A007120,1190
A007160,713
A007210,1294
A007280,706
A007310,480
A007330,10
A007340,1926
A007370,481
A007390,56
A007460,1499
A007530,417
A007540,843
A007570,1107
A007590,1525
A007610,952
A007660,1911
A007680,539
A007690,531
A007700,667
A007720,411
A007770,1696
A007810,529
A007820,1685
A007860,574
A007980,135
A008040,530
A008060,1057
A008110,1555
A008250,428
A008260,87
A008350,1460
A008370,222
A008420,1299
A008490,1042
A008700,387
A008730,345
A008770,1583
A008830,782
A008870,1523
A008930,1807
A008970,1340
A009070,501
A009150,1286
A009160,1225
A009180,1856
A009190,1902
A009200,1096
A009240,557
A009270,777
A009290,1773
A009300,1841
A009320,1624
A009410,1772
A009420,1939
A009440,562
A009450,1440
A009460,1024
A009470,48
A009520,1694
A009540,1889
A009580,443
A009620,1942
A009680,770
A009730,836
A009770,1083
A009780,1444
A009810,145
A009830,232
A009900,1971
A009970,1432
A010040,1349
A010050,625
A010060,1635
A010100,923
A010120,1787
A010130,566
A010140,1791
A010170,104
A010240,888
A010280,729
A010470,604
A010580,1063
A010600,46
A010620,753
A010640,216
A010660,11
A010690,983
A010770,1794
A010780,611
A010820,1646
A010950,1336
A010960,663
A011000,292
A011040,796
A011070,1407
A011150,992
A011170,606
A011200,691
A011210,1826
A011230,1875
A011280,884
A011300,1878
A011320,1573
A011330,810
A011370,668
A011390,1135
A011420,1771
A011500,139
A011560,868
A011690,580
A011700,138
A011760,1948
A011780,124
A011790,849
A011810,311
A011930,1876
A012030,974
A012160,1148
A012170,1825
A012200,859
A012280,1383
A012320,1561
A012330,1820
A012340,1003
A012450,1136
A012510,1785
A012600,955
A012610,1067
A012630,1473
A012690,1283
A012700,1576
A012750,416
A012790,563
A012800,1769
A012860,259
A013030,1304
A013120,1536
A013310,1565
A013360,699
A013520,617
A013570,526
A013580,88
A013700,285
A013720,212
A013810,1125
A013870,708
A013890,1213
A013990,229
A014130,1888
A014160,471
A014190,461
A014200,999
A014280,1609
A014440,1604
A014470,1761
A014530,1347
A014570,773
A014580,804
A014620,1757
A014680,1489
A014710,1469
A014790,632
A014820,126
A014830,1464
A014910,1639
A014940,1815
A014970,903
A014990,20
A015230,433
A015260,58
A015360,935
A015540,951
A015590,1809
A015710,835
A015750,608
A015760,1091
A015860,1384
A015890,320
A016090,840
A016100,1316
A016250,852
A016360,1037
A016380,528
A016450,1250
A016580,964
A016590,254
A016600,1228
A016610,1306
A016710,1
A016740,350
A016790,1998
A016800,1066
A016880,605
A017000,94
A017040,1862
A017180,1797
A017370,183
A017390,6
A017480,1090
A017510,1688
A017550,780
A017650,1017
A017670,1184
A017800,28
A017810,1531
A017890,302
A017900,1538
A017940,1664
A017960,215
A018000,255
A018120,743
A018250,911
A018260,1455
A018290,1617
A018310,1106
A018470,130
A018500,1822
A018620,294
A018670,1642
A018680,1765
A018700,100
A018880,1657
A019010,1352
A019170,91
A019180,1932
A019210,361
A019440,337
A019540,90
A019550,1045
A019570,219
A019590,449
A019660,740
A019680,1300
A019770,751
A019990,901
A020000,1072
A020120,247
A020150,307
A020560,395
A020710,778
A020760,1641
A021050,674
A021080,445
A021240,1277
A021320,249
A021650,1521
A021820,1854
A021880,122
A022100,343
A022220,1627
A023000,524
A023150,1315
A023160,1683
A023350,1158
A023410,1170
A023440,17
A023450,886
A023460,1205
A023530,638
A023590,381
A023600,1231
A023760,867
A023770,1467
A023800,1060
A023810,774
A023900,749
A023910,561
A023960,1936
A024060,1159
A024070,688
A024090,644
A024110,1253
A024120,1488
A024720,512
A024740,1372
A024800,1262
A024810,965
A024830,1851
A024840,1722
A024850,451
A024880,160
A024890,1567
A024900,279
A024910,1672
A024940,483
A024950,670
A025000,1087
A025320,1095
A025440,880
A025530,1972
A025540,689
A025550,1457
A025560,1334
A025750,1111
A025770,1684
A025820,895
A025860,582
A025880,1423
A025900,355
A025950,1691
A025980,1110
A026040,977
A026150,439
A026890,591
A026940,1903
A026960,1668
A027050,615
A027360,1436
A027410,1512
A027580,993
A027710,120
A027740,1185
A027830,49
A027970,1585
A028050,1246
A028080,1474
A028100,1871
A028260,588
A028300,500
A028670,1000
A029460,1156
A029480,1485
A029530,1079
A029780,1199
A029960,214
A030000,575
A030190,1193
A030200,772
A030210,1626
A030350,1062
A030520,1687
A030530,1550
A030610,525
A030960,1833
A031310,128
A031330,1375
A031430,963
A031440,1241
A031510,1339
A031820,1039
A031860,966
A031980,1843
A032190,916
A032300,477
A032350,1478
A032500,325
A032540,1320
A032560,1756
A032580,19
A032620,1529
A032640,936
A032680,284
A032750,199
A032790,1524
A032800,1964
A032820,609
A032830,907
A032850,1701
A032860,946
A032940,299
A032960,1268
A032980,1790
A033100,534
A033130,1366
A033160,1055
A033170,1418
A033180,1497
A033200,912
A033230,1647
A033240,1827
A033270,1105
A033290,775
A033310,460
A033320,1082
A033340,942
A033500,1542
A033530,756
A033540,1413
A033560,114
A033640,1027
A033780,873
A033830,543
A033920,1270
A034020,372
A034120,537
A034220,393
A034230,925
A034300,976
A034310,1016
A034590,1191
A034730,823
A034810,930
A034830,1552
A034940,472
A034950,1465
A035000,1029
A035080,21
A035150,927
A035250,969
A035290,394
A035420,1038
A035460,813
A035510,190
A035600,236
A035610,1860
A035620,22
A035720,1243
A035760,1187
A035810,1216
A035890,1167
A035900,1198
A036000,1662
A036010,1152
A036030,1507
A036090,601
A036120,420
A036170,1969
A036190,1252
A036200,1905
A036420,1602
A036460,396
A036480,1975
A036530,1802
A036540,1800
A036560,1707
A036570,845
A036580,1430
A036620,494
A036630,544
A036640,1266
A036670,1650
A036690,1571
A036710,1425
A036800,616
A036810,1453
A036830,1346
A036890,246
A036930,1493
A037030,251
A037070,1218
A037230,827
A037270,1897
A037330,655
A037350,1011
A037370,1288
A037440,165
A037460,889
A037560,1408
A037710,1150
A037760,838
A037950,654
A038010,499
A038060,1321
A038070,348
A038110,1161
A038290,256
A038390,924
A038460,579
A038500,733
A038530,213
A038540,1390
A038620,1618
A038680,253
A038870,1813
A038880,1411
A038950,1180
A039010,602
A039020,303
A039030,1343
A039130,645
A039200,424
A039240,1623
A039290,808
A039310,55
A039340,785
A039420,1397
A039440,1451
A039490,1044
A039560,801
A039570,1487
A039610,1669
A039830,877
A039840,1884
A039860,1789
A040160,1122
A040300,269
A040350,766
A040420,1401
A040610,1138
A040910,1415
A041020,1395
A041190,112
A041440,176
A041460,85
A041510,1589
A041520,492
A041590,35
A041650,1986
A041830,240
A041910,1648
A041920,1786
A041930,342
A041960,918
A042000,759
A042040,547
A042110,1979
A042370,353
A042420,486
A042500,567
A042510,540
A042520,769
A042600,1959
A042660,1983
A042670,1673
A042700,1142
A042940,565
A043090,41
A043150,1949
A043220,392
A043260,1955
A043340,1452
A043370,1621
A043590,1907
A043610,1840
A043650,453
A043910,1659
A044060,158
A044340,1118
A044380,800
A044450,521
A044490,1630
A044820,684
A044960,879
A045060,970
A045100,1324
A045300,1358
A045390,1690
A045520,1540
A045660,1830
A045970,1661
A046070,1868
A046120,1577
A046140,454
A046210,1866
A046310,121
A046390,40
A046440,314
A046890,1163
A046940,1261
A047040,631
A047050,1140
A047080,894
A047310,1835
A047400,1572
A047560,1747
A047770,505
A047810,187
A047820,831
A047920,1751
A048260,985
A048410,1020
A048430,1255
A048530,815
A048550,475
A048770,495
A048870,18
A048910,426
A049070,1901
A049080,1681
A049120,1362
A049180,410
A049430,962
A049480,980
A049520,1760
A049550,1778
A049630,1197
A049720,338
A049770,1819
A049800,1511
A049830,26
A049950,371
A049960,1412
A050110,874
A050120,1692
A050860,1354
A050890,1263
A050960,167
A051160,375
A051360,1619
A051370,1858
A051380,96
A051490,1916
A051500,202
A051600,462
A051630,1209
A051780,1853
A051900,192
A051910,795
A051980,252
A052020,1873
A052220,549
A052260,1330
A052300,76
A052330,38
A052400,166
A052420,1242
A052460,1798
A052600,1579
A052670,373
A052690,280
A052710,383
A052790,42
A052860,1545
A052900,1730
A053030,987
A053050,1925
A053080,1309
A053160,368
A053210,802
A053260,493
A053270,1310
A053280,1441
A053290,572
A053300,172
A053350,1678
A053450,1805
A053580,1046
A053590,3
A053610,1574
A053620,715
A053690,1768
A053700,1501
A053800,36
A053950,51
A053980,1092
A054040,719
A054050,932
A054090,676
A054180,913
A054210,98
A054450,1302
A054540,1351
A054620,400
A054670,904
A054780,1922
A054800,273
A054920,271
A054930,264
A054950,1752
A055490,326
A055550,119
A056080,1938
A056090,1973
A056190,362
A056360,312
A056700,196
A056730,1247
A057030,1582
A057050,975
A057540,75
A057680,1089
A057880,939
A058110,30
A058400,1108
A058430,1562
A058470,628
A058610,1563
A058630,1554
A058650,1364
A058730,1293
A058820,1631
A058850,929
A058860,1278
A058970,344
A059090,1674
A059100,1442
A059120,573
A059210,1996
A059270,1599
A060150,545
A060230,1527
A060240,1541
A060250,197
A060280,1287
A060310,1974
A060370,1885
A060380,1162
A060540,1682
A060560,1849
A060570,1329
A060590,80
A060720,1784
A060850,1013
A060900,1498
A060980,1548
A061040,634
A061250,1543
A061970,1419
A062860,1121
A063080,488
A063160,1587
A063170,841
A063440,123
A063570,1093
A064090,1506
A064240,1702
A064260,535
A064290,1015
A064350,516
A064480,933
A064520,1297
A064550,93
A064760,1378
A064800,258
A064820,457
A064850,1396
A064960,583
A065130,1744
A065150,1723
A065170,43
A065350,1776
A065370,1435
A065440,533
A065450,878
A065510,1989
A065530,896
A065560,938
A065650,603
A065660,1960
A065680,193
A065710,1426
A065950,155
A066130,316
A066310,548
A066360,1333
A066410,66
A066570,1748
A066590,237
A066620,67
A066670,905
A066700,1814
A066900,1215
A066910,37
A066970,1917
A066980,784
A067000,660
A067080,1183
A067160,270
A067170,339
A067280,163
A067290,1127
A067310,1616
A067370,1035
A067390,329
A067570,1913
A067630,1496
A067830,1075
A067900,720
A067920,1409
A067990,1350
A068050,876
A068240,1200
A068270,402
A068290,1450
A068330,1232
A068400,1314
A068760,1264
A068790,1643
A068930,431
A069080,497
A069110,937
A069260,1715
A069410,1726
A069460,1608
A069510,1173
A069540,1675
A069620,910
A069640,1796
A069730,1130
A069920,61
A069960,504
A070960,728
A071050,1517
A071090,378
A071200,140
A071280,143
A071320,191
A071460,741
A071670,283
A071840,503
A071970,652
A072020,422
A072130,1578
A072470,593
A072710,1553
A072770,1951
A072870,1313
A072990,1695
A073010,195
A073110,441
A073240,1557
A073490,175
A073560,1056
A073570,106
A073640,1338
A074430,809
A074600,1566
A074610,1103
A075180,513
A075580,206
A075970,385
A076080,1514
A076610,717
A077360,973
A077500,221
A077970,817
A078000,1026
A078020,806
A078070,1168
A078130,507
A078140,421
