,종목코드,순위
0,A000020,1184
1,A000040,586
2,A000050,1413
3,A000070,1073
4,A000080,807
5,A000100,1130
6,A000120,1270
7,A000140,796
8,A000150,1531
9,A000180,564
10,A000210,1180
11,A000220,734
12,A000230,105
13,A000240,1535
14,A000250,31
15,A000270,1964
16,A000300,1192
17,A000320,748
18,A000370,720
19,A000390,1371
20,A000400,1699
21,A000430,681
22,A000440,543
23,A000480,1931
24,A000490,747
25,A000500,1470
26,A000520,1054
27,A000540,1336
28,A000590,1401
29,A000640,653
30,A000650,608
31,A000660,1749
32,A000670,1881
33,A000680,65
34,A000700,360
35,A000720,1815
36,A000760,1007
37,A000810,1601
38,A000850,677
39,A000860,910
40,A000880,219
41,A000890,1018
42,A000910,1970
43,A000950,13
44,A000970,1572
45,A000990,42
46,A001000,1728
47,A001020,570
48,A001040,1045
49,A001060,344
50,A001070,954
51,A001080,1515
52,A001120,147
53,A001130,745
54,A001140,59
55,A001200,136
56,A001230,1105
57,A001250,1672
58,A001260,1369
59,A001270,1122
60,A001290,1098
61,A001340,1633
62,A001360,37
63,A001380,1540
64,A001390,1727
65,A001430,142
66,A001440,168
67,A001450,371
68,A001460,485
69,A001470,1703
70,A001500,1189
71,A001510,579
72,A001520,1086
73,A001530,370
74,A001540,1440
75,A001550,1609
76,A001560,1604
77,A001570,41
78,A001620,70
79,A001630,792
80,A001680,923
81,A001720,936
82,A001740,933
83,A001750,700
84,A001780,1687
85,A001790,941
86,A001800,345
87,A001810,577
88,A001820,1905
89,A001840,728
90,A001880,1668
91,A001940,283
92,A002020,356
93,A002030,1407
94,A002100,973
95,A002140,1952
96,A002150,617
97,A002170,614
98,A002200,1072
99,A002210,945
100,A002220,1068
101,A002230,1013
102,A002240,102
103,A002290,281
104,A002310,453
105,A002320,278
106,A002350,1564
107,A002360,1259
108,A002380,1031
109,A002390,899
110,A002410,791
111,A002450,751
112,A002460,815
113,A002600,775
114,A002620,1253
115,A002630,866
116,A002680,1169
117,A002690,708
118,A002700,1617
119,A002710,690
120,A002720,1175
121,A002760,1682
122,A002780,1497
123,A002790,783
124,A002800,1362
125,A002810,1008
126,A002840,966
127,A002880,1669
128,A002900,1448
129,A002920,1887
130,A002960,889
131,A002990,1257
132,A003000,1051
133,A003010,625
134,A003030,1661
135,A003060,415
136,A003070,730
137,A003080,574
138,A003090,508
139,A003100,895
140,A003120,1575
141,A003160,202
142,A003200,1896
143,A003220,514
144,A003230,827
145,A003240,622
146,A003280,1307
147,A003300,1080
148,A003310,1044
149,A003350,1198
150,A003380,375
151,A003410,630
152,A003460,962
153,A003470,702
154,A003480,394
155,A003490,704
156,A003520,296
157,A003530,1542
158,A003540,378
159,A003550,661
160,A003560,39
161,A003570,1875
162,A003580,1153
163,A003610,1966
164,A003620,992
165,A003650,1628
166,A003670,645
167,A003690,1190
168,A003720,1634
169,A003780,1221
170,A003800,799
171,A003830,1313
172,A003850,1591
173,A003920,604
174,A003960,1925
175,A004000,1252
176,A004020,605
177,A004060,1182
178,A004080,897
179,A004090,1311
180,A004100,882
181,A004140,1159
182,A004150,1225
183,A004170,738
184,A004250,662
185,A004270,953
186,A004310,328
187,A004360,1137
188,A004370,1185
189,A004380,1835
190,A004410,1684
191,A004430,472
192,A004440,1373
193,A004450,566
194,A004490,22
195,A004540,422
196,A004560,32
197,A004590,1513
198,A004650,180
199,A004690,47
200,A004700,1176
201,A004710,1692
202,A004720,1323
203,A004770,43
204,A004780,767
205,A004800,1128
206,A004830,279
207,A004840,1508
208,A004870,1517
209,A004890,1135
210,A004910,192
211,A004920,717
212,A004960,297
213,A004970,813
214,A004980,1812
215,A004990,729
216,A005010,637
217,A005070,834
218,A005090,187
219,A005110,138
220,A005160,10
221,A005180,369
222,A005250,924
223,A005290,628
224,A005300,1810
225,A005320,162
226,A005360,776
227,A005380,960
228,A005390,693
229,A005420,1770
230,A005430,770
231,A005440,71
232,A005490,1745
233,A005500,669
234,A005610,432
235,A005670,196
236,A005680,1024
237,A005690,789
238,A005710,1145
239,A005720,1287
240,A005740,803
241,A005750,1305
242,A005800,404
243,A005810,1955
244,A005820,92
245,A005830,361
246,A005850,1452
247,A005860,1429
248,A005870,1795
249,A005880,709
250,A005930,1642
251,A005940,665
252,A005950,1162
253,A005960,612
254,A005990,412
255,A006040,1596
256,A006050,850
257,A006060,851
258,A006090,1346
259,A006110,499
260,A006120,1520
261,A006140,626
262,A006200,1786
263,A006220,1202
264,A006260,1600
265,A006280,1386
266,A006340,963
267,A006360,1392
268,A006370,1188
269,A006390,956
270,A006400,1324
271,A006490,1381
272,A006570,197
273,A006580,996
274,A006620,1275
275,A006650,1041
276,A006660,1149
277,A006730,814
278,A006740,406
279,A006800,1743
280,A006840,1606
281,A006880,1659
282,A006890,1320
283,A006910,874
284,A006980,388
285,A007070,1766
286,A007110,523
287,A007120,949
288,A007160,548
289,A007210,1594
290,A007280,1235
291,A007310,236
292,A007330,418
293,A007340,1532
294,A007370,286
295,A007390,107
296,A007460,646
297,A007530,241
298,A007540,506
299,A007570,1216
300,A007590,1662
301,A007610,986
302,A007660,1990
303,A007680,1194
304,A007690,1120
305,A007700,1082
306,A007720,547
307,A007770,1586
308,A007810,1296
309,A007820,330
310,A007860,113
311,A007980,229
312,A008040,1014
313,A008060,901
314,A008110,1277
315,A008250,1283
316,A008260,188
317,A008350,1627
318,A008370,1208
319,A008420,1285
320,A008490,1503
321,A008700,1760
322,A008730,354
323,A008770,1831
324,A008830,254
325,A008870,755
326,A008930,1959
327,A008970,1545
328,A009070,408
329,A009150,1411
330,A009160,1799
331,A009180,1248
332,A009190,1640
333,A009200,698
334,A009240,1720
335,A009270,907
336,A009290,1066
337,A009300,1781
338,A009320,892
339,A009410,1746
340,A009420,1854
341,A009440,1798
342,A009450,1888
343,A009460,1160
344,A009470,110
345,A009520,1908
346,A009540,1957
347,A009580,129
348,A009620,1647
349,A009680,1030
350,A009730,1811
351,A009770,952
352,A009780,1822
353,A009810,1693
354,A009830,1064
355,A009900,1965
356,A009970,761
357,A010040,1280
358,A010050,636
359,A010060,1543
360,A010100,275
361,A010120,1768
362,A010130,357
363,A010140,1240
364,A010170,121
365,A010240,1088
366,A010280,760
367,A010470,273
368,A010580,1933
369,A010600,137
370,A010620,1282
371,A010640,1300
372,A010660,69
373,A010690,1783
374,A010770,1319
375,A010780,1505
376,A010820,352
377,A010950,1178
378,A010960,1297
379,A011000,81
380,A011040,1026
381,A011070,1645
382,A011150,221
383,A011170,483
384,A011200,315
385,A011210,732
386,A011230,1
387,A011280,1196
388,A011300,1857
389,A011320,1761
390,A011330,531
391,A011370,390
392,A011390,1585
393,A011420,1877
394,A011500,501
395,A011560,1387
396,A011690,568
397,A011700,521
398,A011760,1827
399,A011780,868
400,A011790,1103
401,A011810,1315
402,A011930,1131
403,A012030,1514
404,A012160,417
405,A012170,1214
406,A012200,911
407,A012280,1414
408,A012320,169
409,A012330,675
410,A012340,1910
411,A012450,1237
412,A012510,1201
413,A012600,998
414,A012610,1017
415,A012630,1430
416,A012690,1299
417,A012700,1449
418,A012750,831
419,A012790,723
420,A012800,1883
421,A012860,148
422,A013030,1092
423,A013120,1316
424,A013310,1936
425,A013360,1593
426,A013520,217
427,A013570,560
428,A013580,111
429,A013700,449
430,A013720,77
431,A013810,1334
432,A013870,1409
433,A013890,454
434,A013990,351
435,A014130,1238
436,A014160,575
437,A014190,1179
438,A014200,1111
439,A014280,173
440,A014440,1808
441,A014470,313
442,A014530,1151
443,A014570,1516
444,A014580,802
445,A014620,1950
446,A014680,1691
447,A014710,1419
448,A014790,185
449,A014820,1880
450,A014830,1653
451,A014910,1903
452,A014940,1788
453,A014970,1002
454,A014990,74
455,A015230,1533
456,A015260,90
457,A015360,1081
458,A015540,991
459,A015590,1255
460,A015710,573
461,A015750,1069
462,A015760,1784
463,A015860,1246
464,A015890,220
465,A016090,852
466,A016100,557
467,A016250,794
468,A016360,576
469,A016380,769
470,A016450,1402
471,A016580,811
472,A016590,21
473,A016600,1863
474,A016610,1358
475,A016710,618
476,A016740,1656
477,A016790,1994
478,A016800,1302
479,A016880,1338
480,A017000,268
481,A017040,1638
482,A017180,1342
483,A017370,1915
484,A017390,4
485,A017480,849
486,A017510,1607
487,A017550,295
488,A017650,856
489,A017670,930
490,A017800,1858
491,A017810,624
492,A017890,846
493,A017900,781
494,A017940,1785
495,A017960,424
496,A018000,89
497,A018120,1333
498,A018250,1674
499,A018260,1247
500,A018290,1070
501,A018310,944
502,A018470,1697
503,A018500,1644
504,A018620,1441
505,A018670,1735
506,A018680,1762
507,A018700,598
508,A018880,1029
509,A019010,1364
510,A019170,99
511,A019180,1847
512,A019210,335
513,A019440,967
514,A019540,116
515,A019550,752
516,A019570,600
517,A019590,1522
518,A019660,131
519,A019680,961
520,A019770,1087
521,A019990,145
522,A020000,470
523,A020120,103
524,A020150,674
525,A020560,825
526,A020710,1083
527,A020760,1764
528,A021050,942
529,A021080,569
530,A021240,1456
531,A021320,118
532,A021650,1773
533,A021820,634
534,A021880,366
535,A022100,1923
536,A022220,1269
537,A023000,1382
538,A023150,1104
539,A023160,1793
540,A023350,1168
541,A023410,666
542,A023440,528
543,A023450,510
544,A023460,1791
545,A023530,908
546,A023590,222
547,A023600,555
548,A023760,879
549,A023770,1924
550,A023800,467
551,A023810,210
552,A023900,912
553,A023910,333
554,A023960,1890
555,A024060,1354
556,A024070,1477
557,A024090,285
558,A024110,496
559,A024120,463
560,A024720,1267
561,A024740,1677
562,A024800,809
563,A024810,1978
564,A024830,1789
565,A024840,1125
566,A024850,300
567,A024880,336
568,A024890,1140
569,A024900,304
570,A024910,1949
571,A024940,372
572,A024950,1340
573,A025000,917
574,A025320,1725
575,A025440,260
576,A025530,1998
577,A025540,838
578,A025550,615
579,A025560,1752
580,A025750,551
581,A025770,1461
582,A025820,235
583,A025860,742
584,A025880,800
585,A025900,44
586,A025950,1646
587,A025980,1894
588,A026040,1406
589,A026150,341
590,A026890,685
591,A026940,85
592,A026960,1479
593,A027050,1034
594,A027360,1351
595,A027410,186
596,A027580,1152
597,A027710,1719
598,A027740,1851
599,A027830,845
600,A027970,1632
601,A028050,1318
602,A028080,1303
603,A028100,1838
604,A028260,1457
605,A028300,1095
606,A028670,1578
607,A029460,516
608,A029480,1807
609,A029530,1759
610,A029780,1138
611,A029960,726
612,A030000,1326
613,A030190,195
614,A030200,1112
615,A030210,1861
616,A030350,1631
617,A030520,250
618,A030530,309
619,A030610,663
620,A030960,34
621,A031310,290
622,A031330,919
623,A031430,1239
624,A031440,1486
625,A031510,1236
626,A031820,679
627,A031860,1639
628,A031980,1820
629,A032190,425
630,A032300,367
631,A032350,259
632,A032500,233
633,A032540,1922
634,A032560,477
635,A032580,1753
636,A032620,567
637,A032640,860
638,A032680,736
639,A032750,191
640,A032790,61
641,A032800,1756
642,A032820,1478
643,A032830,1819
644,A032850,621
645,A032860,988
646,A032940,1059
647,A032960,1172
648,A032980,1195
649,A033100,853
650,A033130,340
651,A033160,746
652,A033170,1825
653,A033180,1367
654,A033200,1191
655,A033230,342
656,A033240,1853
657,A033270,1650
658,A033290,765
659,A033310,1512
660,A033320,73
661,A033340,987
662,A033500,1612
663,A033530,263
664,A033540,1569
665,A033560,1037
666,A033640,266
667,A033780,1146
668,A033830,648
669,A033920,1689
670,A034020,1266
671,A034120,35
672,A034220,591
673,A034230,242
674,A034300,1167
675,A034310,402
676,A034590,1204
677,A034730,1391
678,A034810,261
679,A034830,1450
680,A034940,927
681,A034950,1273
682,A035000,881
683,A035080,87
684,A035150,1506
685,A035250,929
686,A035290,1389
687,A035420,707
688,A035460,1491
689,A035510,421
690,A035600,426
691,A035610,1476
692,A035620,867
693,A035720,1025
694,A035760,182
695,A035810,1301
696,A035890,1494
697,A035900,959
698,A036000,1767
699,A036010,1947
700,A036030,1279
701,A036090,915
702,A036120,1431
703,A036170,216
704,A036190,972
705,A036200,601
706,A036420,511
707,A036460,212
708,A036480,1935
709,A036530,1274
710,A036540,1829
711,A036560,407
712,A036570,1818
713,A036580,1562
714,A036620,1460
715,A036630,706
716,A036640,522
717,A036670,1206
718,A036690,1580
719,A036710,214
720,A036800,1379
721,A036810,1215
722,A036830,943
723,A036890,1616
724,A036930,1765
725,A037030,1123
726,A037070,1428
727,A037230,509
728,A037270,1750
729,A037330,1118
730,A037350,965
731,A037370,565
732,A037440,392
733,A037460,1061
734,A037560,484
735,A037710,1344
736,A037760,719
737,A037950,928
