종목코드,순위
A000020,843
A000040,1899
A000050,811
A000070,129
A000080,401
A000100,156
A000120,101
A000140,839
A000150,91
A000180,1721
A000210,210
A000220,1187
A000230,751
A000240,684
A000250,157
A000270,106
A000300,1901
A000320,813
A000370,1364
A000390,1108
A000400,1761
A000430,1341
A000440,501
A000480,884
A000490,745
A000500,518
A000520,1085
A000540,1615
A000590,149
A000640,102
A000650,176
A000660,79
A000670,6
A000680,1563
A000700,1100
A000720,250
A000760,375
A000810,27
A000850,248
A000860,397
A000880,331
A000890,1928
A000910,1091
A000950,281
A000970,1000
A000990,155
A001000,1722
A001020,1886
A001040,95
A001060,399
A001070,174
A001080,143
A001120,321
A001130,53
A001140,1027
A001200,1410
A001230,736
A001250,1632
A001260,842
A001270,461
A001290,1903
A001340,1037
A001360,1537
A001380,1820
A001390,288
A001430,406
A001440,632
A001450,290
A001460,13
A001470,1756
A001500,885
A001510,1911
A001520,1885
A001530,455
A001540,962
A001550,556
A001560,823
A001570,172
A001620,1897
A001630,189
A001680,496
A001720,166
A001740,1310
A001750,883
A001780,1533
A001790,1544
A001800,584
A001810,1692
A001820,222
A001840,1437
A001880,653
A001940,495
A002020,481
A002030,52
A002100,790
A002140,1403
A002150,934
A002170,188
A002200,1589
A002210,1155
A002220,1479
A002230,1327
A002240,511
A002290,1413
A002310,285
A002320,466
A002350,947
A002360,1918
A002380,33
A002390,600
A002410,1633
A002450,1854
A002460,851
A002600,31
A002620,678
A002630,1930
A002680,1749
A002690,1689
A002700,1717
A002710,304
A002720,1370
A002760,1767
A002780,1844
A002790,329
A002800,1304
A002810,649
A002840,45
A002880,1912
A002900,687
A002920,1454
A002960,28
A002990,1132
A003000,1001
A003010,1204
A003030,46
A003060,1921
A003070,633
A003080,1483
A003090,609
A003100,385
A003120,356
A003160,1076
A003200,725
A003220,634
A003230,83
A003240,4
A003280,1822
A003300,728
A003310,1715
A003350,407
A003380,906
A003410,1193
A003460,1683
A003470,1572
A003480,1486
A003490,424
A003520,1620
A003530,1623
A003540,656
A003550,105
A003560,
A003570,818
A003580,1175
A003610,1045
A003620,857
A003650,134
A003670,17
A003690,1046
A003720,1334
A003780,1117
A003800,315
A003830,71
A003850,910
A003920,7
A003960,346
A004000,160
A004020,289
A004060,1941
A004080,620
A004090,769
A004100,1725
A004140,1696
A004150,1554
A004170,32
A004250,1120
A004270,1702
A004310,1299
A004360,616
A004370,10
A004380,703
A004410,1955
A004430,563
A004440,1268
A004450,264
A004490,194
A004540,1607
A004560,594
A004590,1385
A004650,768
A004690,65
A004700,185
A004710,1024
A004720,1183
A004770,1680
A004780,1355
A004800,141
A004830,1323
A004840,1287
A004870,1916
A004890,29
A004910,1068
A004920,1764
A004960,952
A004970,808
A004980,888
A004990,340
A005010,1130
A005070,43
A005090,349
A005110,1926
A005160,1207
A005180,186
A005250,589
A005290,257
A005300,51
A005320,1863
A005360,1508
A005380,34
A005390,1742
A005420,177
A005430,249
A005440,1411
A005490,15
A005500,418
A005610,115
A005670,1236
A005680,815
A005690,913
A005710,1115
A005720,1342
A005740,1111
A005750,1496
A005800,739
A005810,295
A005820,423
A005830,120
A005850,279
A005860,1213
A005870,1123
A005880,1744
A005930,135
A005940,820
A005950,
A005960,1053
A005990,869
A006040,230
A006050,1823
A006060,1420
A006090,950
A006110,123
A006120,276
A006140,1146
A006200,1864
A006220,588
A006260,107
A006280,61
A006340,1848
A006360,432
A006370,827
A006390,538
A006400,2
A006490,1825
A006570,1503
A006580,
A006620,1186
A006650,54
A006660,778
A006730,1022
A006740,483
A006800,1023
A006840,494
A006880,982
A006890,668
A006910,1436
A006980,383
A007070,386
A007110,1845
A007120,1801
A007160,238
A007210,1670
A007280,1736
A007310,8
A007330,853
A007340,119
A007370,1151
A007390,824
A007460,1835
A007530,1353
A007540,195
A007570,529
A007590,1095
A007610,
A007660,655
A007680,1084
A007690,223
A007700,454
A007720,1909
A007770,411
A007810,581
A007820,1060
A007860,895
A007980,1794
A008040,1875
A008060,1133
A008110,927
A008250,992
A008260,1147
A008350,1655
A008370,1350
A008420,1495
A008490,344
A008700,1676
A008730,273
A008770,104
A008830,1137
A008870,89
A008930,261
A008970,1862
A009070,1365
A009150,50
A009160,1196
A009180,1626
A009190,1351
A009200,1691
A009240,209
A009270,1798
A009290,1110
A009300,513
A009320,1775
A009410,1453
A009420,439
A009440,1402
A009450,235
A009460,1833
A009470,364
A009520,365
A009540,90
A009580,1459
A009620,1853
A009680,886
A009730,1318
A009770,366
A009780,1229
A009810,1900
A009830,218
A009900,434
A009970,137
A010040,1518
A010050,1917
A010060,99
A010100,1520
A010120,147
A010130,11
A010140,1215
A010170,1727
A010240,1148
A010280,1881
A010470,566
A010580,1610
A010600,1758
A010620,121
A010640,1221
A010660,1516
A010690,579
A010770,1534
A010780,268
A010820,1347
A010950,125
A010960,1501
A011000,1248
A011040,1032
A011070,19
A011150,1539
A011170,44
A011200,524
A011210,159
A011230,907
A011280,1590
A011300,1714
A011320,1163
A011330,1788
A011370,1850
A011390,128
A011420,1661
A011500,519
A011560,878
A011690,1832
A011700,1212
A011760,498
A011780,60
A011790,93
A011810,1028
A011930,1753
A012030,1809
A012160,1914
A012170,1931
A012200,1699
A012280,1860
A012320,86
A012330,30
A012340,1686
A012450,84
A012510,308
A012600,
A012610,1297
A012630,1049
A012690,1600
A012700,1040
A012750,178
A012790,951
A012800,1828
A012860,1711
A013030,409
A013120,1418
A013310,1237
A013360,1693
A013520,1664
A013570,1191
A013580,559
A013700,1773
A013720,1953
A013810,1372
A013870,1246
A013890,317
A013990,1498
A014130,1179
A014160,1826
A014190,1728
A014200,
A014280,1220
A014440,1414
A014470,1609
A014530,1525
A014570,1122
A014580,1138
A014620,681
A014680,25
A014710,1232
A014790,1646
A014820,244
A014830,153
A014910,1652
A014940,1465
A014970,1293
A014990,1890
A015230,1078
A015260,1720
A015360,286
A015540,
A015590,1887
A015710,1255
A015750,844
A015760,500
A015860,1356
A015890,1054
A016090,1703
A016100,1506
A016250,382
A016360,269
A016380,896
A016450,1284
A016580,568
A016590,1159
A016600,1947
A016610,1378
A016710,503
A016740,1530
A016790,339
A016800,324
A016880,1838
A017000,1316
A017040,1580
A017180,1595
A017370,1471
A017390,170
A017480,1267
A017510,1464
A017550,1604
A017650,860
A017670,200
A017800,243
A017810,738
A017890,825
A017900,1650
A017940,187
A017960,753
A018000,1827
A018120,548
A018250,421
A018260,63
A018290,1152
A018310,575
A018470,1641
A018500,1847
A018620,1803
A018670,67
A018680,1376
A018700,1704
A018880,863
A019010,1685
A019170,545
A019180,1449
A019210,1135
A019440,565
A019540,1394
A019550,1852
A019570,1857
A019590,1884
A019660,1776
A019680,1594
A019770,1343
A019990,909
A020000,394
A020120,1081
A020150,163
A020560,705
A020710,1391
A020760,1846
A021050,1802
A021080,1678
A021240,197
A021320,1211
A021650,1612
A021820,870
A021880,1956
A022100,779
A022220,1782
A023000,1512
A023150,1007
A023160,530
A023350,1059
A023410,1421
A023440,1642
A023450,237
A023460,1667
A023530,116
A023590,491
A023600,841
A023760,1907
A023770,1075
A023800,871
A023810,877
A023900,669
A023910,343
A023960,1660
A024060,1219
A024070,1555
A024090,651
A024110,829
A024120,1200
A024720,617
A024740,1636
A024800,1669
A024810,1922
A024830,899
A024840,1747
A024850,1337
A024880,1239
A024890,1654
A024900,1038
A024910,1617
A024940,1066
A024950,1109
A025000,206
A025320,1640
A025440,1558
A025530,1244
A025540,150
A025550,1359
A025560,395
A025750,1865
A025770,789
A025820,1397
A025860,929
A025880,1556
A025900,199
A025950,710
A025980,1157
A026040,1619
A026150,949
A026890,1198
A026940,1412
A026960,469
A027050,1559
A027360,1688
A027410,1358
A027580,1769
A027710,1757
A027740,1821
A027830,1732
A027970,1819
A028050,334
A028080,1065
A028100,664
A028260,72
A028300,258
A028670,1280
A029460,468
A029480,1450
A029530,260
A029780,327
A029960,997
A030000,522
A030190,742
A030200,312
A030210,1435
A030350,1924
A030520,611
A030530,1408
A030610,1216
A030960,521
A031310,1586
A031330,1472
A031430,504
A031440,231
A031510,1765
A031820,1896
A031860,1880
A031980,772
A032190,573
A032300,482
A032350,743
A032500,493
A032540,1030
A032560,999
A032580,1718
A032620,1188
A032640,754
A032680,1908
A032750,1134
A032790,1611
A032800,1944
A032820,1805
A032830,139
A032850,1087
A032860,
A032940,1431
A032960,629
A032980,1829
A033100,607
A033130,1697
A033160,641
A033170,1839
