종목코드,순위
A000020,1360
A000040,681
A000050,752
A000070,866
A000080,605
A000100,1189
A000120,646
A000140,1130
A000150,1640
A000180,665
A000210,789
A000220,535
A000230,34
A000240,565
A000250,22
A000270,1913
A000300,1482
A000320,986
A000370,188
A000390,1736
A000400,1963
A000430,220
A000440,1213
A000480,1191
A000490,420
A000500,396
A000520,1010
A000540,1016
A000590,1386
A000640,1141
A000650,953
A000660,1414
A000670,404
A000680,1745
A000700,905
A000720,1042
A000760,984
A000810,1099
A000850,23
A000860,1504
A000880,1192
A000890,1031
A000910,1937
A000950,197
A000970,1479
A000990,114
A001000,730
A001020,367
A001040,1176
A001060,837
A001070,1148
A001080,1438
A001120,842
A001130,1064
A001140,1966
A001200,1993
A001230,96
A001250,1710
A001260,1002
A001270,1087
A001290,520
A001340,1547
A001360,1789
A001380,1656
A001390,1737
A001430,1167
A001440,99
A001450,204
A001460,772
A001470,1995
A001500,1005
A001510,676
A001520,679
A001530,53
A001540,1028
A001550,709
A001560,1723
A001570,47
A001620,1393
A001630,962
A001680,1282
A001720,700
A001740,823
A001750,641
A001780,780
A001790,374
A001800,310
A001810,864
A001820,1197
A001840,1063
A001880,1240
A001940,282
A002020,727
A002030,1740
A002100,1172
A002140,1212
A002150,1539
A002170,616
A002200,476
A002210,725
A002220,1755
A002230,231
A002240,180
A002290,1478
A002310,1322
A002320,813
A002350,1567
A002360,1527
A002380,430
A002390,892
A002410,511
A002450,1245
A002460,793
A002600,996
A002620,1659
A002630,1526
A002680,249
A002690,92
A002700,1581
A002710,429
A002720,1602
A002760,1490
A002780,1708
A002790,1330
A002800,818
A002810,1150
A002840,309
A002880,1257
A002900,1513
A002920,1634
A002960,888
A002990,1066
A003000,733
A003010,172
A003030,1957
A003060,970
A003070,1079
A003080,1689
A003090,1374
A003100,2
A003120,726
A003160,1128
A003200,1905
A003220,955
A003230,90
A003240,803
A003280,894
A003300,977
A003310,1281
A003350,1585
A003380,1458
A003410,673
A003460,1784
A003470,1441
A003480,192
A003490,427
A003520,663
A003530,274
A003540,845
A003550,1205
A003560,1756
A003570,1615
A003580,1439
A003610,1663
A003620,928
A003650,1377
A003670,450
A003690,1304
A003720,1766
A003780,1812
A003800,708
A003830,1436
A003850,1747
A003920,494
A003960,1301
A004000,1241
A004020,1253
A004060,1113
A004080,849
A004090,989
A004100,1127
A004140,1733
A004150,559
A004170,1009
A004250,1543
A004270,1324
A004310,1182
A004360,452
A004370,1307
A004380,337
A004410,1469
A004430,350
A004440,1037
A004450,1086
A004490,36
A004540,884
A004560,1933
A004590,1363
A004650,960
A004690,177
A004700,637
A004710,1354
A004720,1045
A004770,612
A004780,693
A004800,1224
A004830,1138
A004840,1704
A004870,1568
A004890,1222
A004910,538
A004920,1862
A004960,764
A004970,724
A004980,1423
A004990,485
A005010,304
A005070,586
A005090,280
A005110,471
A005160,548
A005180,779
A005250,1695
A005290,1867
A005300,260
A005320,45
A005360,1254
A005380,1791
A005390,731
A005420,69
A005430,1265
A005440,287
A005490,296
A005500,694
A005610,642
A005670,1019
A005680,1619
A005690,801
A005710,1133
A005720,1319
A005740,690
A005750,1060
A005800,491
A005810,1821
A005820,212
A005830,332
A005850,267
A005860,363
A005870,1466
A005880,269
A005930,1524
A005940,1188
A005950,1250
A005960,1410
A005990,1368
A006040,193
A006050,163
A006060,800
A006090,691
A006110,436
A006120,1679
A006140,289
A006200,983
A006220,54
A006260,1013
A006280,1156
A006340,1074
A006360,674
A006370,1525
A006390,851
A006400,369
A006490,1757
A006570,91
A006580,927
A006620,852
A006650,321
A006660,965
A006730,1012
A006740,10
A006800,1497
A006840,1491
A006880,1508
A006890,1528
A006910,151
A006980,1824
A007070,815
A007110,1611
A007120,1252
A007160,440
A007210,1533
A007280,405
A007310,460
A007330,17
A007340,1941
A007370,908
A007390,145
A007460,1032
A007530,262
A007540,666
A007570,1154
A007590,1463
A007610,924
A007660,1861
A007680,660
A007690,399
A007700,1771
A007720,553
A007770,1350
A007810,784
A007820,1400
A007860,439
A007980,81
A008040,1788
A008060,1147
A008110,1522
A008250,534
A008260,150
A008350,1562
A008370,590
A008420,1075
A008490,1089
A008700,1220
A008730,598
A008770,1593
A008830,319
A008870,361
A008930,1676
A008970,426
A009070,217
A009150,463
A009160,1334
A009180,662
A009190,1899
A009200,777
A009240,809
A009270,1054
A009290,1846
A009300,1670
A009320,1772
A009410,1857
A009420,1956
A009440,215
A009450,1673
A009460,982
A009470,1674
A009520,1849
A009540,1901
A009580,640
A009620,1938
A009680,1151
A009730,1333
A009770,532
A009780,355
A009810,1566
A009830,570
A009900,1953
A009970,1503
A010040,1574
A010050,1259
A010060,890
A010100,1444
A010120,1703
A010130,783
A010140,1748
A010170,43
A010240,1577
A010280,1022
A010470,798
A010580,1449
A010600,1981
A010620,870
A010640,1161
A010660,171
A010690,994
A010770,1036
A010780,791
A010820,1920
A010950,987
A010960,1295
A011000,544
A011040,872
A011070,1299
A011150,805
A011170,632
A011200,205
A011210,1832
A011230,1875
A011280,290
A011300,1675
A011320,1465
A011330,1416
A011370,1293
A011390,1069
A011420,1947
A011500,336
A011560,1698
A011690,1692
A011700,13
A011760,1969
A011780,466
A011790,844
A011810,57
A011930,1842
A012030,1249
A012160,1085
A012170,1883
A012200,573
A012280,1048
A012320,782
A012330,1605
A012340,1305
A012450,614
A012510,1894
A012600,922
A012610,745
A012630,1494
A012690,1448
A012700,1669
A012750,655
A012790,1057
A012800,1530
A012860,627
A013030,1025
A013120,972
A013310,1432
A013360,1505
A013520,252
A013570,1291
A013580,736
A013700,312
A013720,447
A013810,1239
A013870,1349
A013890,897
A013990,1455
A014130,1954
A014160,765
A014190,1472
A014200,656
A014280,1462
A014440,1705
A014470,1732
A014530,1452
A014570,604
A014580,76
A014620,1898
A014680,1746
A014710,1303
A014790,1480
A014820,195
A014830,1266
A014910,1763
A014940,1662
A014970,1026
A014990,8
A015230,1168
A015260,105
A015360,1426
A015540,921
A015590,778
A015710,799
A015750,715
A015760,843
A015860,1229
A015890,788
A016090,794
A016100,1586
A016250,1096
A016360,1196
A016380,102
A016450,1314
A016580,786
A016590,254
A016600,513
A016610,1142
A016710,1
A016740,1384
A016790,1997
A016800,998
A016880,268
A017000,1335
A017040,1312
A017180,362
A017370,95
A017390,6
A017480,869
A017510,1822
A017550,434
A017650,1345
A017670,938
A017800,742
A017810,386
A017890,285
A017900,35
A017940,1900
A017960,825
A018000,189
A018120,969
A018250,1495
A018260,1024
A018290,964
A018310,146
A018470,1269
A018500,1818
A018620,194
A018670,1863
A018680,1776
A018700,339
A018880,652
A019010,963
A019170,170
A019180,1817
A019210,300
A019440,167
A019540,1951
A019550,1070
A019570,276
A019590,1190
A019660,1550
A019680,1083
A019770,1275
A019990,481
A020000,686
A020120,184
A020150,445
A020560,275
A020710,1073
A020760,1735
A021050,1383
A021080,579
A021240,743
A021320,1211
A021650,1603
A021820,1853
A021880,863
A022100,446
A022220,1811
A023000,333
