일자,종목코드,종목명,거래량,시가,고가,저가,종가
20210601,A060310,3S,166690,2890,2970,2885,2920
20210601,A095570,AJ네트웍스,63836,5860,5940,5750,5780
20210601,A006840,AK홀딩스,103691,35500,35600,34150,34400
20210601,A054620,APS,462544,14600,14950,13800,14950
20210601,A265520,AP시스템,131987,29150,29150,28800,29050
20210601,A211270,AP위성,623179,15300,16100,14950,16100
20210601,A027410,BGF,345706,7020,7150,7000,7050
20210601,A282330,BGF리테일,39293,182500,188500,181500,184000
20210601,A126600,BGF에코머티리얼즈,632510,6410,6540,6280,6400
20210601,A138930,BNK금융지주,1299625,7940,8000,7890,7990
20210601,A001460,BYC,4533,434500,498500,434500,448000
20210601,A013720,CBI,163482,30600,32000,29050,30050
20210601,A001040,CJ,221664,115000,118000,114500,114500
20210601,A079160,CJ CGV,950431,33550,34000,32700,33100
20210601,A035760,CJ ENM,297768,167200,169400,163700,165400
20210601,A311690,CJ 바이오사이언스,20726,34000,34800,33850,34200
20210601,A000120,CJ대한통운,46783,170000,170500,168500,169500
20210601,A011150,CJ씨푸드,1188132,4750,4880,4715,4820
20210601,A097950,CJ제일제당,57895,489500,491000,476000,485500
20210601,A051500,CJ프레시웨이,164793,32700,33500,31750,32000
20210601,A058820,CMG제약,752210,4640,4645,4560,4605
20210601,A023460,CNH,57660,3510,3510,3410,3470
20210601,A056730,CNT85,0,0,0,0,1550
20210601,A083660,CSA 코스믹,134449,1890,1895,1825,1850
20210601,A000590,CS홀딩스,3064,74900,76000,74800,75600
20210601,A012030,DB,5723415,1045,1080,1015,1055
20210601,A016610,DB금융투자,180173,7170,7300,7120,7220
20210601,A005830,DB손해보험,96454,50900,51400,50100,51300
20210601,A000990,DB하이텍,468216,51900,52500,51400,52100
20210601,A139130,DGB금융지주,309690,9420,9490,9380,9390
20210601,A060900,DGP,5523819,2400,2435,2245,2365
20210601,A025440,DH오토웨어,893632,1165,1165,1140,1145
20210601,A001530,DI동일,11635,180000,185000,178500,182000
20210601,A000210,DL,175462,82100,83800,81800,82800
20210601,A001880,DL건설,105426,36300,36850,36200,36650
20210601,A375500,DL이앤씨,76281,134500,135500,133500,135000
20210601,A068790,DMS,87246,7910,7970,7890,7930
20210601,A007340,DN오토모티브,30428,38300,38700,37750,38150
20210601,A004840,DRB동일,1019939,7190,7880,7160,7880
20210601,A241520,DSC인베스트먼트,379168,6040,6080,6020,6020
20210601,A065150,DSEN,400668,995,1010,993,996
20210601,A155660,DSR,131616,7040,7060,6860,6950
20210601,A069730,DSR제강,92015,6290,6390,6250,6340
20210601,A180400,DXVX,0,0,0,0,7740
20210601,A017940,E1,26884,55700,56400,54700,55800
20210601,A245620,EDGC,411631,4925,4995,4895,4960
20210601,A037370,EG,46525,11450,11450,11200,11300
20210601,A050120,ES큐브,170963,6710,6870,6620,6870
20210601,A383220,F&F,137800,449500,495000,447000,492500
20210601,A007700,F&F홀딩스,333463,39050,39850,38650,39600
20210601,A214270,FSN,1723197,1250,1275,1245,1260
20210601,A130500,GH신소재,73241,6040,6190,6040,6160
20210601,A114090,GKL,634622,19100,19150,18350,18550
20210601,A078930,GS,595903,46250,48550,46250,48050
20210601,A083450,GST,118483,25550,25850,25150,25450
20210601,A006360,GS건설,615245,44900,45100,44350,44850
20210601,A001250,GS글로벌,1355849,2815,2920,2815,2890
20210601,A007070,GS리테일,773328,39350,39800,38950,39200
20210601,A297890,HB솔루션,18372,20200,20200,19450,20000
20210601,A078150,HB테크놀러지,1107603,2665,2700,2625,2695
20210601,A012630,HDC,582214,14250,14500,14200,14400
20210601,A039570,HDC랩스,124500,13350,13550,12900,13450
20210601,A089470,HDC현대EP,218457,6050,6120,6040,6060
20210601,A294870,HDC현대산업개발,487228,29700,29750,29300,29550
20210601,A009540,HD한국조선해양,819339,143000,151000,142500,149000
20210601,A267250,HD현대,615920,70600,75200,70200,75000
20210601,A267270,HD현대건설기계,103493,57800,58500,57200,57400
20210601,A322000,HD현대에너지솔루션,109606,31950,33400,31900,32900
20210601,A042670,HD현대인프라코어,8007441,13050,13700,12800,13300
20210601,A267260,HD현대일렉트릭,323071,21900,22550,21650,22200
20210601,A097230,HJ중공업,268581,8530,8660,8360,8530
20210601,A014790,HL D&I,181725,5570,5700,5570,5630
20210601,A028300,HLB,2353845,34800,37250,34400,35850
20210601,A003580,HLB글로벌,1362959,12050,12550,11400,11900
20210601,A278650,HLB바이오스텝,50049,27800,27900,27450,27600
20210601,A067630,HLB생명과학,1444674,10300,10900,10250,10450
20210601,A024850,HLB이노베이션,1406697,2475,2570,2425,2460
20210601,A047920,HLB제약,182884,15400,15750,15300,15450
20210601,A115450,HLB테라퓨틱스,227249,11300,11600,11300,11500
20210601,A204320,HL만도,585359,66700,68000,65800,66600
20210601,A060980,HL홀딩스,51989,44550,44650,43900,44400
20210601,A011200,HMM,10632345,47100,47900,46050,47650
20210601,A036640,HRS,202368,5530,5630,5480,5630
20210601,A082740,HSD엔진,1742837,10350,10950,10150,10850
20210601,A003560,IHQ,4919393,2365,2425,2265,2285
20210601,A095340,ISC,89423,20400,20800,20400,20600
20210601,A099520,ITX-AI,0,0,0,0,1285
20210601,A175330,JB금융지주,345608,7730,7730,7680,7700
20210601,A234080,JW생명과학,40276,18600,18650,18500,18600
20210601,A067290,JW신약,63537,5000,5020,4965,4985
20210601,A001060,JW중외제약,49535,29100,29300,28950,29300
20210601,A096760,JW홀딩스,68583,4695,4715,4675,4700
20210601,A035900,JYP Ent.,677980,39850,39900,38750,39650
20210601,A318000,KBG,76650,8510,8620,8430,8570
20210601,A024840,KBI메탈,376419,2305,2345,2305,2325
20210601,A105560,KB금융,921289,58800,59000,58000,58800
20210601,A024120,KB오토시스,22155,9660,9780,9600,9610
20210601,A002380,KCC,44481,308000,314500,307500,314000
20210601,A021320,KCC건설,47124,10450,10550,10350,10550
20210601,A344820,KCC글라스,86675,64100,64900,63600,63800
20210601,A036670,KCI,68391,9810,9920,9770,9920
20210601,A009070,KCTC,526083,7660,7700,7530,7600
20210601,A009440,KC그린홀딩스,320093,5170,5190,5080,5150
20210601,A119650,KC코트렐,167275,7760,7850,7660,7790
20210601,A092220,KEC,4962868,2175,2340,2140,2330
20210601,A151860,KG ETS,14949520,11000,12800,10700,11850
20210601,A046440,KG모빌리언스,419061,10400,10700,10350,10700
20210601,A003620,KG모빌리티,0,0,0,0,2770
20210601,A016380,KG스틸,519900,19950,20800,19850,20100
20210601,A035600,KG이니시스,269039,21950,22450,21800,22350
20210601,A001390,KG케미칼,175087,29950,30950,29600,30450
20210601,A033180,KH 필룩스,997426,3240,3315,3230,3285
20210601,A060720,KH바텍,211150,20400,20800,20100,20550
20210601,A001940,KISCO홀딩스,39601,19100,19200,18750,19000
20210601,A058400,KNN,1467376,1860,1930,1860,1900
20210601,A114450,KPX생명과학,551083,10600,10650,10150,10250
20210601,A025000,KPX케미칼,9098,65600,66000,65200,65700
20210601,A092230,KPX홀딩스,16545,71700,74200,71700,73500
20210601,A000040,KR모터스,480096,1180,1190,1155,1175
20210601,A044450,KSS해운,161345,12300,12400,12150,12400
20210601,A030200,KT,1022983,34350,34450,34050,34100
20210601,A033780,KT&G,727684,84500,85500,84400,85300
20210601,A058850,KTcs,1080375,3270,3275,3185,3225
20210601,A058860,KTis,688736,3310,3340,3185,3260
20210601,A060370,KT서브마린,443749,8120,8160,7890,8130
20210601,A122450,KX,250057,10700,11100,10650,11050
20210601,A052900,KX하이텍,449528,1880,1915,1870,1895
20210601,A061970,LB세미콘,411672,13150,13300,13000,13200
20210601,A093050,LF,113584,21150,21200,20550,20950
20210601,A003550,LG,537456,101000,103000,99700,101000
20210601,A034220,LG디스플레이,5046067,24050,24700,23750,24600
20210601,A051900,LG생활건강,22256,1556000,1560000,1533000,1539000
20210601,A032640,LG유플러스,2189307,15100,15450,15050,15400
20210601,A011070,LG이노텍,87600,203500,204500,201500,203000
20210601,A066570,LG전자,656695,151500,153000,150000,151500
20210601,A037560,LG헬로비전,3663527,5600,5600,5360,5540
20210601,A051910,LG화학,175369,818000,830000,818000,825000
20210601,A079550,LIG넥스원,553623,44400,46950,44050,46800
20210601,A006260,LS,147174,69900,70500,68900,69300
20210601,A010120,LS ELECTRIC,66523,56800,57700,56400,57400
20210601,A000680,LS네트웍스,1189713,3740,3865,3700,3845
20210601,A229640,LS전선아시아,486429,8450,8520,8300,8420
20210601,A108320,LX세미콘,333463,107600,114600,106700,114300
20210601,A001120,LX인터내셔널,230274,31000,31600,30950,31200
20210601,A108670,LX하우시스,71208,94200,94800,93600,94400
20210601,A383800,LX홀딩스,1879288,11000,11300,10900,11000
20210601,A086960,MDS테크,114208,15950,16550,15950,16450
20210601,A023150,MH에탄올,82147,10500,10600,10450,10600
20210601,A035420,NAVER,404110,362500,368500,362500,367000
20210601,A160550,NEW,267303,10550,10650,10400,10450
20210601,A053290,NE능률,13845215,20550,26700,20200,26700
20210601,A181710,NHN,112321,73800,75400,73500,74000
20210601,A060250,NHN KCP,73580,50200,51500,50000,51500
20210601,A104200,NHN벅스,6599,6080,6080,5980,6040
20210601,A005940,NH투자증권,974254,13150,13200,13000,13150
20210601,A034310,NICE,42215,18850,19050,18800,19000
20210601,A030190,NICE평가정보,36350,23050,23200,22950,23000
20210601,A008260,NI스틸,926032,5390,5550,5340,5470
20210601,A004250,NPC,101991,4200,4265,4185,4205
20210601,A010060,OCI홀딩스,249383,127000,128500,124500,126000
